time,n1,n2,weight
1991,Germany,France,47674.0
1991,India,Japan,1364.0
1991,Italy,Brazil,1836.0
1991,India,France,580.0
1991,United Stat,Spain,3037.0
1991,Spain,Italy,9285.0
1991,China,France,1572.0
1991,Brazil,United Stat,5935.0
1991,France,China,3005.0
1991,India,Italy,404.0
1991,Japan,Italy,4538.0
1991,France,Russia,3056.0
1991,Italy,India,663.0
1991,United Stat,India,3429.0
1991,India,United Stat,1891.0
1991,Germany,Italy,36213.0
1991,Russia,Spain,335.0
1991,Germany,United Stat,25897.0
1991,France,United Stat,22079.0
1991,Japan,India,2186.0
1991,China,Italy,1458.0
1991,Spain,France,14089.0
1991,Brazil,Germany,2233.0
1991,Germany,Brazil,3290.0
1991,Brazil,China,83.0
1991,France,India,630.0
1991,United Stat,Germany,26985.0
1991,Japan,Germany,10746.0
1991,Italy,France,25902.0
1991,China,Japan,10032.0
1991,China,Spain,373.0
1991,Japan,United Stat,53634.0
1992,United Stat,India,4066.0
1992,China,United Stat,8903.0
1992,India,Spain,96.0
1992,Germany,Italy,37532.0
1992,China,India,181.0
1992,Italy,France,27199.0
1992,Russia,China,1669.0
1992,India,Germany,1907.0
1992,Spain,Russia,526.0
1992,France,India,721.0
1992,France,Italy,25403.0
1992,India,Italy,519.0
1992,France,United Stat,20103.0
1992,Brazil,Italy,908.0
1992,Spain,United Stat,7357.0
1992,Germany,Spain,11008.0
1992,Italy,India,767.0
1992,Germany,France,48886.0
1992,United Stat,Germany,29596.0
1992,Germany,United Stat,27096.0
1992,Spain,China,1620.0
1992,Brazil,United Stat,5545.0
1992,China,Japan,13686.0
1992,Japan,Spain,769.0
1992,Russia,India,822.0
1992,Japan,United Stat,52693.0
1992,China,Germany,4023.0
1992,India,China,94.0
1992,Germany,India,1723.0
1992,Russia,Japan,1680.0
1992,Russia,France,1286.0
1992,Italy,Japan,4401.0
1992,Italy,Brazil,1847.0
1992,United Stat,France,15262.0
1992,Brazil,Japan,1266.0
1992,France,Brazil,1664.0
1992,China,Brazil,519.0
1992,France,Russia,1492.0
1992,Japan,Germany,10746.0
1992,Russia,Spain,420.0
1992,China,Spain,354.0
1992,France,Japan,9766.0
1992,United Stat,Italy,12843.0
1992,Italy,Germany,40655.0
1992,Spain,India,312.0
1992,France,China,3501.0
1992,India,Brazil,213.0
1992,Brazil,Germany,2091.0
1992,United Stat,Spain,3188.0
1992,Japan,Brazil,2849.0
1992,Italy,Russia,2951.0
1992,United Stat,Russia,511.0
1992,Italy,China,2786.0
1992,France,Germany,44594.0
1992,United Stat,China,27413.0
1992,Brazil,China,55.0
1992,Spain,Germany,16374.0
1992,United Stat,Japan,99481.0
1992,China,France,1499.0
1992,India,United Stat,2258.0
1992,Spain,Brazil,984.0
1992,India,Japan,1504.0
1992,Germany,China,7493.0
1992,India,France,636.0
